"origen","estino","nivel"
3;14;50
8;15;50
5;13;50
2;10;50
6;13;50
5;15;50
3;15;50
4;13;50
10;8;50
11;2;50
7;2;50
14;7;50
12;9;50
4;11;50
6;11;50
7;15;50
10;5;50
12;10;50
10;14;50
8;9;50
2;6;50
4;3;50
7;10;50
6;9;50
3;15;50
5;14;50
9;7;50
12;2;50
14;6;50
6;5;50
7;9;50
8;12;50
4;11;50
12;5;50
3;15;50
4;13;50
8;15;50
11;2;50
9;14;50
13;9;50
2;3;50
4;12;50
7;5;50
12;13;50
4;13;50
11;8;50
11;4;50
8;7;50
11;3;50
3;14;50
3;13;50
4;10;50
3;7;50
10;3;50
13;10;50
11;12;50
9;13;50
11;14;50
3;10;50
3;5;50
3;9;50
6;5;50
8;10;50
13;6;50
1;12;50
13;12;50
3;8;50
6;3;50
8;13;50
3;5;50
3;14;50
12;11;50
7;12;50
8;10;50
6;12;50
9;7;50
1;8;50
7;14;50
5;13;50
12;14;50
2;14;50
2;11;50
12;13;50
3;14;50
1;10;50
8;14;50
9;10;50
3;8;50
9;12;50
6;5;50
11;4;50
4;12;50
5;10;50
7;6;50
12;3;50
6;7;50
3;12;50
11;10;50
2;9;50
6;7;50
11;14;50
3;12;50
3;8;50
6;13;50
8;9;50
10;5;50
6;5;50
10;5;50
10;7;50
13;5;50
7;6;50
4;2;50
10;5;50
4;6;50
12;14;50
9;4;50
2;11;50
12;4;50
14;11;50
13;8;50
10;14;50
11;12;50
9;12;50
8;5;50
13;3;50
1;14;50
10;13;50
8;14;50
10;13;50
12;14;50
6;12;50
7;12;50
10;11;50
5;9;50
10;8;50
9;12;50
10;4;50
9;4;50
9;5;50
7;8;50
10;4;50
8;6;50
11;10;50
12;4;50
4;2;50
12;8;50
5;9;50
8;9;50
11;10;50
9;13;50
14;10;50
14;4;50
5;10;50
10;3;50
9;5;50
13;5;50
11;7;50
11;3;50
12;5;50
5;6;50
5;9;50
13;9;50
5;8;50
14;3;50
6;10;50
12;4;50
11;10;50
5;11;50
11;4;50
3;14;50
7;11;50
11;9;50
13;8;50
4;5;50
8;11;50
7;4;50
3;12;50
12;8;50
10;13;50
12;9;50
13;14;50
3;11;50
8;14;50
3;12;50
3;11;50
8;14;50
10;5;50
11;5;50
6;7;50
3;8;50
3;13;50
2;8;50
7;12;50
6;4;50
9;13;50
13;14;50
7;5;50
5;3;50
2;10;50
5;14;50
14;9;50
12;8;50
9;5;50
2;12;50
9;11;50
2;11;50
7;6;50
14;12;50
13;12;50
11;4;50
10;7;50
9;7;50
11;10;50
10;8;50
9;4;50
13;12;50
2;9;50
12;14;50
12;9;50
10;14;50
12;11;50
6;11;50
11;14;50
2;8;50
3;4;50
10;12;50
6;12;50
13;2;50
13;6;50
9;4;50
12;14;50
6;12;50
10;7;50
9;5;50
7;3;50
7;14;50
4;10;50
10;2;50
11;5;50
12;5;50
6;8;50
5;13;50
8;9;50
7;12;50
3;9;50
4;11;50
4;7;50
4;10;50
11;12;50
3;6;50
13;6;50
8;12;50
8;5;50
2;5;50
6;13;50
7;9;50
11;10;50
5;11;50
8;9;50
11;9;50
5;11;50
13;14;50
7;8;50
11;9;50
4;12;50
13;11;50
11;14;50
7;4;50
4;2;50
10;4;50
5;10;50
13;8;50
3;14;50
9;2;50
7;9;50
4;14;50
3;8;50
12;14;50
9;3;50
13;6;50
8;11;50
4;2;50
3;9;50
9;10;50
8;12;50
6;7;50
8;13;50
4;14;50
8;14;50
7;12;50
10;6;50
12;5;50
2;5;50
6;8;50
4;12;50
10;13;50
14;13;50
7;4;50
7;6;50
6;5;50
9;10;50
6;14;50
6;9;50
3;9;50
14;10;50
10;5;50
5;3;50
10;14;50
8;9;50
8;14;50
12;14;50
13;5;50
12;13;50
6;4;50
6;4;50
4;14;50
13;11;50
8;10;50
3;13;50
5;8;50
1;14;50
11;4;50
13;5;50
10;3;50
10;8;50
9;11;50
7;3;50
9;10;50
9;14;50
10;12;50
2;13;50
13;8;50
4;8;50
7;5;50
6;11;50
8;12;50
8;14;50
5;11;50
14;3;50
10;11;50
8;11;50
9;14;50
14;10;50
4;2;50
10;6;50
13;9;50
12;10;50
11;4;50
13;3;50
9;7;50
7;14;50
8;3;50
11;9;50
3;8;50
10;14;50
2;9;50
12;4;50
11;14;50
12;4;50
3;12;50
9;13;50
4;11;50
8;5;50
3;4;50
5;14;50
12;3;50
7;6;50
8;11;50
13;12;50
13;5;50
13;14;50
8;6;50
13;14;50
6;7;50
6;7;50
11;3;50
8;11;50
8;4;50
8;11;50
4;11;50
11;7;50
8;5;50
13;7;50
7;10;50
5;7;50
6;5;50
5;6;50
3;12;50
6;2;50
10;4;50
6;3;50
8;14;50
3;7;50
4;13;50
4;7;50
3;9;50
5;4;50
8;6;50
5;8;50
4;7;50
12;14;50
14;8;50
2;3;50
12;14;50
7;13;50
14;11;50
8;3;50
4;14;50
11;13;50
13;7;50
5;6;50
4;10;50
7;3;50
